Stock,Model,RMSE,MAE,RÂ²,MSE
AAPL,Linear Regression,0.012151317063088059,0.009561171881611534,-1.025034809261089,0.00014765450636769503
AAPL,Ridge Regression,0.012094734890980318,0.008679997769992533,-1.006219713472412,0.00014628261208309668
AAPL,Lasso Regression,0.007178259525425554,0.005622956229653994,0.2933178873301542,5.15274098143627e-05
AAPL,Random Forest,0.0070762069254721215,0.005674184686371933,0.31326871083205055,5.007270445209961e-05
MSFT,Linear Regression,0.008390915923756438,0.006666484082392384,0.4569326978814322,7.040747003954935e-05
MSFT,Ridge Regression,0.008657208565940714,0.006329837595261335,0.42191636270617994,7.494726015419727e-05
MSFT,Lasso Regression,0.009484403549004,0.006305268355049269,0.30616697971455464,8.995391068035964e-05
MSFT,Random Forest,0.010586331260403432,0.006422865281864978,0.13557787362382534,0.00011207040955499493
GOOGL,Linear Regression,0.008420250257667065,0.006803033114394099,0.421993630851502,7.090061440174227e-05
GOOGL,Ridge Regression,0.008802281675436197,0.007022689687255539,0.36835487396662914,7.748016269371986e-05
GOOGL,Lasso Regression,0.011655297447758563,0.009032979551127987,-0.1074633126096578,0.00013584595859572726
GOOGL,Random Forest,0.01205878362086217,0.008593046418091384,-0.18546743988025116,0.00014541426241477376
TSLA,Linear Regression,0.027599664813029428,0.022117332878731993,0.1368665141765395,0.0007617414977915747
TSLA,Ridge Regression,0.027054816159911736,0.019863397432535332,0.17060860624999585,0.0007319630774466212
TSLA,Lasso Regression,0.03055622165058033,0.023100535943008538,-0.05796098797792126,0.0009336826815593941
TSLA,Random Forest,0.03276045000539069,0.026533645316030977,-0.21610218155122274,0.0010732470845557028
AMZN,Linear Regression,0.007844230453847186,0.0060314241278831525,0.8695366323319078,6.153195141306363e-05
AMZN,Ridge Regression,0.010361047549902965,0.0066869106907198345,0.7723879606297762,0.00010735130633135024
AMZN,Lasso Regression,0.01863227572459087,0.010522180954358818,0.26392901094984034,0.0003471616986771782
AMZN,Random Forest,0.018671051547778823,0.012260317351125708,0.26086213299858285,0.00034860816589981394
